ticker,price,transaction_date,transaction_type,quantity,account_number,create_date
ECYT,$2455.97,2017-03-11,sell,2573,346208121-7,2015-02-12 21:05:49
JAG,$1357.46,2020-02-11,buy,363,902545149-7,2018-03-07 04:42:27
BAC^W,$2353.62,2018-06-10,buy,2157,123017975-5,2018-07-07 23:19:50
INTC,$1513.67,2018-10-27,buy,2348,529860007-7,2021-10-16 16:53:48
STAG^C,$81.94,2022-03-19,sell,2846,774326892-6,2015-02-06 10:19:05
SHOR,$2382.59,2019-10-29,sell,51,553772625-4,2019-11-12 18:35:16
BOSC,$654.67,2018-08-26,buy,1494,775908808-6,2015-07-15 09:55:38
OKE,$504.42,2017-07-07,sell,1371,623907296-6,2022-05-01 15:21:48
CINR,$1873.71,2018-07-21,sell,3709,022096946-9,2022-04-13 01:41:27
PE,$1237.69,2016-01-28,sell,1016,091814551-1,2015-01-28 10:49:28
CTU,$1590.23,2022-04-16,sell,1692,596607121-7,2015-09-13 05:29:24
CIM,$2093.19,2016-08-01,buy,1231,464822057-9,2021-10-30 04:52:42
GLDI,$671.19,2017-08-05,buy,1624,637109212-X,2019-06-14 02:21:14
PAM,$333.87,2018-11-16,buy,1868,983589723-9,2022-01-09 16:20:35
CZFC,$303.27,2022-01-24,sell,1733,788029458-9,2016-01-29 00:51:55
ENBL,$433.26,2015-11-08,sell,1290,505182291-6,2020-10-12 02:51:00
ALL,$585.73,2015-07-11,buy,2883,745291671-9,2022-05-10 22:49:05
GNT,$1954.94,2021-01-25,buy,2597,936137352-8,2022-06-09 03:50:53
AWK,$99.92,2020-07-30,sell,4167,002120173-0,2020-02-26 19:01:21
OZM,$1992.81,2019-04-14,sell,3781,762701475-1,2021-01-29 03:20:46
CATH,$1088.78,2019-08-30,buy,3003,631450878-9,2020-01-08 03:48:11
MHLA,$1422.49,2020-11-21,sell,4987,424021666-4,2019-09-19 05:19:30
NERV,$2214.76,2017-08-18,sell,4019,441105423-X,2021-03-23 08:09:09
CTRP,$865.28,2018-01-23,sell,1511,887389582-4,2020-11-03 19:16:20
ACWI,$2259.89,2015-01-25,buy,4245,793041435-3,2022-03-20 13:05:54
EVK,$1147.67,2020-08-19,buy,4045,602447248-X,2018-04-19 23:20:20
MILN,$990.16,2017-12-16,sell,43,234605163-2,2022-05-13 23:55:27
MOXC,$490.33,2015-12-15,sell,4443,194037730-7,2019-01-27 20:33:50
CHA,$69.29,2015-02-05,sell,4743,543201064-X,2020-04-10 08:55:31
REG^G,$2207.05,2015-11-11,buy,1871,731007318-5,2015-10-06 20:46:03
TECH,$673.73,2019-05-10,sell,4821,286808800-7,2021-07-14 15:07:12
CLI,$1081.06,2022-06-05,buy,2793,207012765-6,2018-04-07 06:59:15
DHIL,$1113.19,2017-11-18,buy,2989,949698936-5,2020-11-11 04:07:10
TVIZ,$1576.15,2019-03-03,sell,4758,244961562-8,2020-01-23 18:59:31
MAC,$327.51,2016-03-27,sell,3022,677135403-2,2021-09-12 06:24:43
DELT,$2192.69,2016-02-22,sell,445,304423658-4,2018-11-16 19:03:17
AFSI^F,$2109.85,2015-05-16,buy,3351,502869099-5,2016-07-02 19:17:28
CLD,$2187.59,2022-07-22,buy,2213,052152869-0,2017-05-21 17:01:49
COR,$647.90,2018-03-15,sell,417,877878952-4,2017-08-03 14:10:32
LPT,$2166.79,2016-09-23,sell,1444,189007421-7,2021-12-17 23:11:23
AMGN,$1741.82,2015-10-19,buy,3668,986122989-2,2020-03-26 08:54:38
DTJ,$464.41,2016-03-15,sell,4791,443065672-X,2018-07-06 20:44:42
LTRPB,$259.14,2015-11-06,sell,4575,302373496-8,2020-11-18 11:38:19
SNA,$1789.64,2020-02-29,sell,3968,623912379-X,2022-02-22 18:12:26
ESLT,$2466.23,2020-10-10,buy,3989,426589995-1,2021-10-11 06:20:25
BLDP,$141.28,2022-01-30,buy,2123,443222087-2,2021-09-15 02:08:04
WTR,$1094.67,2020-06-27,buy,3248,693009042-5,2016-01-19 20:31:54
ALJJ,$1499.75,2019-03-13,sell,3202,726539254-X,2019-09-19 08:06:47
CAI,$99.67,2020-01-03,buy,405,228734463-2,2020-02-22 19:05:23
SPR,$2174.78,2019-09-15,sell,4160,128483016-0,2018-01-02 12:14:54
TCI,$2009.20,2017-11-20,buy,1665,835017471-4,2021-05-28 07:37:13
AAWW,$1271.25,2017-10-20,sell,4535,322971835-6,2020-04-14 22:38:37
APA,$2332.74,2016-05-20,buy,4887,549646965-1,2018-08-10 22:26:47
EACQW,$1642.19,2015-06-21,sell,2439,080404188-1,2018-05-15 09:45:23
APB,$1292.93,2019-01-26,buy,4741,887340917-2,2015-03-08 06:23:14
MSF,$1884.05,2020-09-29,sell,3881,067233820-3,2019-12-07 15:56:46
LXU,$792.38,2019-10-17,buy,2422,857811954-1,2022-04-24 11:20:21
JPM^E,$1688.33,2018-12-16,buy,2745,421404496-7,2022-04-29 17:46:15
RXDX,$559.79,2016-10-19,buy,4021,195430520-6,2017-10-20 02:29:57
COLL,$708.42,2018-01-20,sell,807,519174803-4,2015-12-21 10:52:23
EPD,$1023.73,2018-11-06,sell,3219,557831703-0,2017-10-19 16:36:09
EXK,$2251.14,2015-07-10,buy,1021,399859787-5,2018-03-25 18:06:36
GBLI,$144.70,2019-05-29,buy,2538,451937582-7,2018-04-01 15:51:02
FVC,$793.00,2021-08-11,sell,3383,176854237-6,2022-07-25 01:52:42
HMST,$857.58,2021-05-31,buy,2559,205258868-X,2017-09-10 03:12:05
MBWM,$607.76,2016-03-30,buy,2738,872031580-5,2017-10-04 09:20:24
LEDS,$1951.68,2015-06-25,sell,1288,817467513-2,2019-03-10 09:09:06
AVDL,$1500.47,2022-08-06,buy,214,457890472-5,2021-12-22 05:36:53
WGO,$2394.02,2018-05-14,buy,274,290374649-4,2018-01-23 21:41:59
XON,$161.89,2019-05-02,buy,4550,277009693-1,2019-06-06 15:17:53
GOOD,$2038.01,2017-04-08,buy,1510,209576680-6,2020-07-07 22:51:30
GGG,$924.73,2022-07-03,sell,1894,950656856-1,2022-06-14 00:16:46
TORM          ,$163.28,2015-07-21,buy,2957,713836139-4,2017-04-17 19:08:21
ARWR,$2019.64,2020-04-13,sell,64,452121659-5,2015-06-13 09:01:10
SOL,$638.14,2022-03-30,buy,2090,240545286-3,2020-05-11 17:16:11
COF,$988.10,2016-11-17,buy,1726,466432536-3,2015-03-01 22:30:36
HRG,$1879.21,2020-02-22,buy,4720,614724748-4,2015-08-07 13:05:17
BEDU,$2050.44,2021-02-26,sell,412,000461065-2,2016-11-20 10:26:08
BTEC,$1950.11,2021-01-27,buy,1850,961540784-4,2017-06-09 17:01:40
CA,$1776.04,2017-07-04,buy,919,163515607-6,2019-01-30 16:10:34
KLAC,$798.28,2022-07-12,buy,4985,835197819-1,2020-10-11 21:10:53
OFIX,$591.53,2021-03-07,buy,1569,193737104-2,2020-02-10 15:53:07
NWS,$666.11,2021-05-13,sell,3553,559151937-7,2015-12-16 11:38:17
DWTR,$1442.52,2015-07-19,sell,3806,109706889-7,2018-07-31 13:06:05
UBP,$456.34,2019-08-01,buy,429,905914815-0,2019-03-07 03:56:44
VTR,$440.79,2022-07-27,buy,1218,898452198-1,2021-03-10 13:26:23
LMBS,$975.92,2021-05-07,sell,444,272092168-8,2018-03-06 05:02:33
TR,$517.67,2016-01-07,buy,1103,474568675-7,2018-02-18 14:05:04
GPIAW,$792.20,2019-02-24,sell,4085,531275434-X,2018-05-14 16:07:45
ALIM,$718.03,2017-02-03,sell,1221,051196901-5,2020-08-30 19:45:38
CIG.C,$861.26,2022-01-26,buy,278,263999005-5,2016-06-09 20:54:34
PVTB,$799.48,2017-03-09,sell,2350,115497676-9,2020-01-28 08:30:00
ITGR,$2377.01,2022-02-24,buy,1546,270926764-0,2015-12-03 20:26:20
PXI,$1478.27,2020-01-09,sell,978,147836583-8,2021-02-03 04:17:19
MITL,$1883.57,2017-05-21,sell,3734,563390197-5,2015-05-04 19:57:42
MPAA,$1978.14,2021-02-27,buy,4629,620399528-2,2016-08-25 19:41:22
FTXO,$500.50,2017-12-28,sell,726,035815697-1,2022-05-18 23:01:29
BRKR,$656.66,2020-07-22,sell,3041,059266696-4,2020-10-03 12:28:02
ABR^B,$1832.22,2018-02-28,buy,3104,085133806-2,2018-07-04 06:14:09
JBK,$347.84,2020-08-20,buy,2276,324434219-1,2016-12-01 17:11:32
BSL,$1504.08,2021-11-10,buy,3359,457995867-5,2017-10-09 22:49:02
ABR^A,$312.26,2018-08-05,buy,2210,958956755-X,2019-12-12 07:57:13
MBOT,$861.90,2021-03-23,sell,2855,630848929-8,2016-01-19 05:58:53
CMTL,$1699.75,2016-07-09,sell,1997,361612476-X,2021-10-31 09:49:15
RP,$1146.69,2022-04-17,sell,4232,061826944-4,2015-01-28 13:38:28
SPLK,$180.20,2015-11-15,sell,1806,649531564-3,2021-10-26 15:27:57
WM,$120.71,2016-08-11,sell,803,987430383-2,2021-02-21 23:10:11
SMED,$2025.58,2016-04-25,sell,2213,482567720-7,2017-08-13 07:24:50
CXP,$1388.73,2019-11-11,buy,1849,086992665-9,2019-12-12 07:05:42
DLX,$2468.69,2020-05-23,sell,3828,426072627-7,2020-04-03 07:54:57
EZT,$2177.38,2022-07-16,sell,4836,351379132-1,2022-07-06 20:36:04
SINA,$1578.51,2017-09-14,sell,2641,502319587-2,2016-04-04 02:24:21
NEWT,$894.58,2020-07-12,buy,2064,969566076-2,2018-06-16 05:43:20
BKCC,$1517.43,2017-06-24,buy,2500,451722944-0,2019-02-28 16:17:58
OPGNW,$1224.94,2021-07-06,sell,1464,198512947-7,2016-11-14 05:18:25
SMHI,$1817.34,2019-05-13,buy,1865,543474660-0,2020-03-21 17:21:17
UNM,$1362.05,2018-04-18,sell,2248,455930206-5,2019-04-09 11:16:44
DWTR,$8.35,2019-07-05,buy,4545,257496534-5,2020-12-19 12:15:25
STI^A,$707.81,2022-05-10,buy,3250,607175395-3,2021-02-17 05:39:47
IFEU,$2410.71,2016-08-05,buy,4387,451491957-8,2022-01-17 05:18:24
OLBK,$1624.02,2022-02-19,buy,3427,765011762-6,2020-01-11 07:53:27
AIRR,$1715.29,2016-11-13,sell,3670,982777789-0,2018-09-06 04:40:01
SDR,$114.49,2021-09-03,buy,3781,344408891-4,2019-03-01 14:15:14
SNGX,$132.98,2021-08-01,buy,622,421801763-8,2019-06-03 21:01:26
PCMI,$509.41,2018-03-26,buy,2236,675950270-1,2021-09-25 08:49:59
SMG,$903.88,2018-08-20,sell,2444,859382720-9,2018-10-06 17:00:07
SCE^H,$218.37,2020-02-23,sell,567,132753042-2,2017-09-08 09:10:47
BCH,$877.18,2019-01-01,sell,2382,661414138-4,2017-11-06 16:16:58
PATI,$472.14,2019-05-21,buy,3516,028858128-8,2021-06-14 16:16:10
TLGT,$1054.28,2020-08-04,sell,4305,623797856-9,2020-10-06 23:30:59
ALL,$2056.70,2017-10-02,sell,1246,823210544-5,2017-10-02 12:12:02
IDXX,$252.97,2019-12-04,buy,1962,580293794-7,2018-04-10 00:13:35
HNRG,$458.66,2016-10-13,buy,1916,158108569-9,2018-10-14 15:00:48
COF^F,$1799.32,2018-08-21,sell,1975,639509343-6,2021-12-18 21:45:17
GWB,$2425.60,2021-02-21,sell,2633,935343170-0,2020-10-05 09:44:53
SNMX,$1506.08,2021-11-29,buy,4989,526144440-3,2017-03-18 04:47:26
ASBB,$2054.88,2022-06-05,buy,394,771754044-4,2016-05-12 18:06:04
SPG^J,$454.56,2016-07-29,buy,1797,932000792-6,2020-05-17 20:48:43
HLS,$807.06,2021-05-19,buy,3502,084075774-3,2022-03-27 12:44:29
NXEOU,$750.76,2017-01-05,sell,3413,597357959-X,2016-01-04 18:27:52
RICE,$1951.72,2017-03-07,sell,364,435685812-3,2015-12-07 01:29:32
LMOS,$1370.40,2022-07-21,buy,981,528495487-4,2021-08-21 12:04:30
CBRL,$2134.34,2015-10-01,buy,2349,803204657-7,2020-03-26 21:52:41
ASTE,$383.98,2021-03-09,buy,2872,469695349-1,2016-08-06 13:51:23
NS,$294.53,2019-02-05,buy,1095,091637452-1,2019-10-01 15:15:14
QUOT,$2254.42,2018-01-20,sell,1838,246447151-8,2015-09-09 20:22:31
LFVN,$2245.95,2017-03-03,sell,2148,066593967-1,2020-09-16 06:16:13
MBFI,$663.70,2018-12-03,sell,2090,927660167-8,2021-06-18 10:05:52
QVCB,$2348.92,2020-07-10,sell,1897,235646312-7,2022-06-13 10:26:26
PNC.WS,$2377.13,2017-01-03,buy,4943,575178120-1,2016-03-25 13:41:55
VBF,$1569.52,2022-07-24,sell,2171,135242216-6,2018-10-08 00:51:15
PRA,$1733.84,2015-11-17,buy,3870,798374860-4,2021-05-15 06:57:25
MLNK,$1053.23,2016-01-27,buy,1151,914311282-X,2020-09-13 17:15:56
AAPC,$1858.71,2015-07-06,buy,959,366592653-X,2018-03-05 07:12:52
HIBB,$1485.49,2018-12-17,sell,2711,442867556-9,2021-09-08 03:20:49
TKC,$50.99,2022-04-28,sell,2548,424511505-X,2017-04-05 13:34:00
PEBK,$2428.88,2015-08-24,buy,613,046153474-6,2021-01-31 22:42:46
IVFGC,$343.77,2015-07-07,buy,3485,788029574-7,2021-03-03 23:49:55
VCIT,$1770.29,2017-08-15,sell,4573,840592624-0,2020-11-08 02:52:57
EBMT,$850.21,2015-05-14,sell,1301,453833037-X,2017-04-11 09:10:41
ZION,$2037.88,2019-02-28,sell,4703,272079125-3,2017-02-16 21:58:57
AOI,$1295.01,2016-05-02,buy,2369,734714746-8,2018-04-15 01:06:12
VGM,$1532.87,2020-01-29,buy,346,074383501-8,2021-02-08 23:53:50
MSON,$2123.16,2016-07-12,sell,859,535810278-7,2019-06-18 01:02:23
NIHD,$1492.53,2017-09-15,buy,873,796105616-5,2015-07-20 18:24:52
SAFT,$1314.25,2016-05-15,buy,1800,728330807-5,2021-03-07 18:45:07
CELH,$745.10,2016-10-18,sell,3189,765408951-1,2016-08-08 20:00:14
FII,$1255.72,2015-02-28,buy,3144,598256500-8,2016-04-01 04:34:21
PSCM,$82.52,2021-01-05,sell,973,784711671-5,2020-05-03 03:51:49
SMCP,$2164.06,2017-08-11,buy,2079,911891891-3,2020-11-13 12:36:48
PUI,$504.35,2018-01-28,sell,1898,611505492-3,2016-09-16 23:02:13
TCBK,$1146.99,2018-03-18,buy,642,012147810-6,2020-11-24 22:02:16
MYL,$1454.77,2022-06-29,buy,2302,357501018-8,2019-12-09 20:58:58
ANAB,$695.84,2020-09-21,sell,4177,436992096-5,2015-04-10 02:00:43
WEB,$444.81,2020-12-02,sell,4005,819741869-1,2019-03-19 20:46:59
CLR,$911.43,2019-12-15,sell,3704,366590150-2,2016-09-15 01:02:59
WIA,$1197.93,2019-02-20,buy,639,956617958-8,2021-06-17 10:17:42
EVH,$811.18,2015-11-01,buy,764,584730945-7,2018-11-02 23:42:09
AXS^D,$2418.92,2016-07-16,buy,3201,476160315-1,2016-10-02 01:41:38
APTS,$298.26,2017-01-23,sell,2344,183690877-6,2018-06-21 18:34:29
DVD,$742.71,2016-07-12,buy,3774,346385854-1,2015-01-20 04:16:04
BK^C,$310.29,2021-02-13,sell,289,897383449-5,2018-06-04 12:26:44
PHG,$1167.69,2016-06-22,buy,4143,583017725-0,2018-06-07 10:19:53
ICCC,$850.57,2018-06-05,buy,629,904621064-2,2018-01-02 02:21:53
PRFT,$1987.35,2020-01-21,buy,2882,614731228-6,2017-11-27 14:41:58
CPST,$462.33,2022-05-03,sell,2016,178652435-X,2022-06-08 09:38:52
NUW,$98.34,2016-12-06,sell,1817,685133519-0,2022-04-13 08:29:38
NS^B,$1565.43,2021-04-09,buy,3720,274903782-4,2020-04-24 18:13:23
PNFP,$258.67,2015-09-08,sell,153,721127358-5,2020-03-13 20:48:37
CPE,$1083.52,2015-06-12,sell,1755,319641839-1,2022-05-16 01:54:40
ARQL,$711.12,2022-07-21,buy,2518,255082925-5,2020-05-05 17:06:41
ESTE,$519.44,2015-05-30,buy,2503,102561713-4,2015-05-25 07:30:27
CPTAL,$2380.21,2019-06-18,buy,1721,652415459-2,2016-06-17 08:45:35
BZUN,$2279.74,2016-02-10,sell,2514,667537608-X,2019-04-29 06:39:23
BBT^E,$49.51,2015-05-20,sell,3140,586766107-5,2017-06-19 09:46:46
PK,$1328.27,2016-03-16,sell,4373,117761849-4,2021-02-18 07:02:02
BTO,$2307.36,2020-09-15,buy,3330,654537197-5,2015-11-04 05:44:49
ETP,$1223.69,2017-06-01,sell,662,700659064-7,2017-07-27 10:16:43
WRB^C,$1872.15,2021-08-06,buy,3538,399599273-0,2022-08-08 22:13:44
RDCM,$1421.08,2015-10-22,buy,582,278083720-9,2021-12-26 17:43:09
EGN,$1258.46,2016-07-23,sell,4123,447328465-4,2019-05-31 03:06:45
CBB^B,$55.79,2021-04-06,sell,267,275644395-6,2019-10-06 09:51:04
STOR,$1396.84,2018-10-03,sell,2803,034864174-5,2019-07-02 14:42:50
HSKA,$296.43,2015-07-29,buy,414,171112315-3,2018-06-16 07:29:38
HSY,$1968.98,2020-11-25,buy,2059,500769974-8,2015-05-11 01:51:13
BBY,$1752.05,2019-01-28,buy,487,980674069-6,2022-07-02 13:39:56
HEES,$1518.93,2019-02-04,buy,4239,408454684-4,2022-03-22 08:58:40
NBLX,$1477.61,2021-01-18,buy,2865,833339849-9,2022-07-23 14:55:57
SFST,$92.63,2019-11-18,sell,4946,027295734-8,2019-04-12 03:12:48
FHN,$765.23,2015-10-01,sell,633,906633956-X,2020-04-08 08:40:23
PXS,$2052.18,2015-12-05,sell,1514,523255465-4,2021-05-31 16:39:10
OAS,$2008.00,2016-06-14,sell,2442,396377637-4,2021-04-28 20:32:06
STI.WS.B,$524.81,2018-01-25,buy,2689,604250178-X,2019-11-16 20:56:16
HT^E,$1231.34,2019-01-04,buy,4298,084854470-6,2015-05-01 01:09:36
UL,$1227.11,2019-01-19,buy,4733,247346364-6,2020-11-21 12:16:47
RFEM,$937.75,2019-12-20,buy,2782,763545153-7,2016-04-16 03:31:28
ELS,$597.22,2021-06-12,buy,3139,757023675-0,2020-01-08 18:27:06
PCYG,$2249.89,2019-02-23,buy,3943,817322368-8,2016-11-13 18:13:19
GAB^J,$2085.39,2016-01-19,sell,1102,640109836-8,2021-02-14 01:26:49
BBF,$497.85,2017-05-08,buy,3137,075363812-6,2018-08-17 00:39:36
MERC,$2299.94,2018-01-17,buy,3680,594435921-8,2018-08-01 17:48:43
DEO,$868.31,2015-10-10,buy,3835,271465338-3,2019-10-14 22:49:25
NDRM,$1218.27,2019-09-08,sell,4419,312014010-4,2020-02-26 19:31:16
SHG,$988.44,2019-10-16,buy,2376,589799531-1,2016-09-12 08:46:17
CLDC,$2095.24,2021-07-15,buy,3814,078578113-7,2017-12-31 20:07:53
PBR.A,$2353.24,2019-12-26,sell,2595,305613457-9,2021-04-14 02:10:45
ELON,$289.93,2022-01-25,buy,2936,163793160-3,2019-04-07 07:29:19
CALX,$103.80,2015-01-16,sell,3662,722310654-9,2020-03-12 22:22:13
ASH,$440.65,2021-11-19,buy,644,380288566-X,2018-05-15 06:44:44
GCO,$1385.09,2021-04-16,buy,929,561884141-X,2015-09-21 22:34:20
WFT,$315.36,2018-07-08,sell,4824,984573268-2,2015-09-02 03:06:14
TEP,$1443.83,2015-09-28,sell,1804,275392882-7,2019-02-23 00:42:51
PAA,$1463.54,2021-06-07,buy,2405,373458253-9,2021-02-23 05:34:50
CTHR,$1102.13,2016-11-23,buy,1140,586761198-1,2019-01-22 04:32:54
PSET,$1425.20,2020-06-25,buy,4022,026995923-8,2017-04-01 04:17:08
FENG,$1828.87,2020-03-27,sell,2043,339015815-4,2018-04-09 09:46:27
FCBC,$1020.77,2022-01-19,buy,4336,797440087-0,2020-11-27 08:24:55
ASNA,$1096.56,2016-10-25,buy,337,381705046-1,2019-05-23 10:27:07
OREX,$2396.24,2015-05-20,sell,896,493447609-1,2018-06-27 07:01:49
TWOU,$1507.19,2015-03-19,sell,625,347731943-5,2018-08-15 01:20:01
BZUN,$2233.72,2019-12-23,buy,2286,891584062-3,2021-10-02 03:08:02
SALM,$635.39,2022-06-30,sell,1588,760112520-3,2018-10-01 16:17:28
CLWT,$214.35,2015-09-10,sell,2333,049136508-X,2020-12-19 18:33:26
FEUZ,$2256.93,2018-07-12,buy,3837,806758236-X,2017-12-16 00:45:51
FDX,$1574.41,2018-08-26,sell,2770,642568697-9,2016-02-28 23:10:00
GRX^B,$1682.42,2021-02-02,sell,585,391218067-9,2020-01-01 11:09:52
ASV,$83.79,2016-10-28,buy,1565,807308367-1,2016-05-09 14:25:32
HL^B,$159.55,2015-11-02,sell,4809,982139521-X,2020-09-16 15:45:53
HCSG,$44.93,2016-09-20,sell,4058,732801676-0,2021-10-29 18:20:48
PLUG,$949.22,2021-08-16,buy,2381,194859289-4,2018-04-26 01:41:42
RNWK,$889.77,2020-06-30,sell,1120,135407084-4,2019-01-28 13:41:09
FCPT,$996.17,2017-09-17,buy,2454,734926876-9,2015-07-13 14:32:54
XRX,$1392.42,2019-06-02,sell,4612,003323018-8,2019-06-11 19:15:00
CDEV,$1449.82,2019-01-13,sell,778,489115964-2,2021-04-07 18:31:25
VTN,$421.96,2016-08-08,sell,738,617278323-8,2016-05-22 00:16:21
PAVMW,$1361.41,2018-12-25,sell,4954,760751071-0,2022-08-05 15:22:58
NAC,$778.17,2015-12-12,sell,574,997434076-4,2015-12-21 10:36:36
DVD,$1291.24,2020-11-21,buy,526,488889725-5,2018-10-17 00:57:11
NATI,$299.92,2020-10-06,sell,1104,715502066-4,2015-09-29 12:55:36
AGN,$572.87,2015-05-20,sell,3202,263795889-8,2019-07-20 11:15:10
BEAT,$1687.60,2018-10-15,buy,751,321296367-0,2018-08-23 08:30:27
RFI,$1253.69,2017-06-12,buy,1613,212202077-6,2021-09-09 08:23:48
FPXI,$2435.03,2015-09-06,sell,2044,801284908-9,2022-02-15 19:24:26
TWLO,$2325.78,2019-08-26,sell,957,653316826-6,2018-10-30 22:08:02
AGN,$1051.07,2015-10-16,sell,2507,879961290-9,2015-03-10 07:52:22
ROSEW,$148.21,2016-01-01,sell,1265,628038176-5,2021-05-01 21:02:04
PULM,$347.26,2015-07-28,buy,2234,826342094-6,2017-01-08 22:13:44
EMCI,$1071.66,2021-04-27,sell,3232,033710365-8,2016-06-04 06:31:50
BRX,$1952.42,2019-11-12,buy,2505,196760332-4,2021-07-12 16:06:53
IVTY,$86.40,2021-10-14,sell,4171,727774614-7,2015-09-02 23:52:01
ARD,$961.83,2019-09-13,buy,1231,550991993-0,2019-04-19 15:21:30
OSBC,$2340.32,2017-02-25,buy,256,542708251-4,2016-12-05 22:24:14
OXBR,$98.81,2022-06-04,sell,2411,551851521-9,2021-08-13 20:02:55
CPSS,$423.90,2018-06-24,buy,792,561570472-1,2020-07-07 04:31:07
EXEL,$980.58,2022-03-07,buy,1231,520345845-6,2020-06-10 15:39:06
ZAGG,$1979.70,2016-05-13,sell,1638,746657602-8,2020-10-25 02:46:45
USB,$1241.32,2017-08-12,buy,2008,101527614-8,2021-11-22 12:03:56
TAL,$109.59,2016-09-15,buy,553,506712622-1,2017-10-11 22:03:10
DMB,$1910.90,2021-01-14,buy,1803,888518622-X,2015-05-14 11:53:18
BGE^B,$818.66,2021-01-09,buy,3254,569583206-3,2020-05-13 15:22:39
DFT,$188.05,2017-04-25,sell,4726,396855641-0,2022-01-26 00:42:58
EFF,$1669.84,2018-11-21,buy,2671,053015891-4,2016-10-07 05:38:35
CLS,$260.60,2021-05-24,sell,1978,270922170-5,2020-10-08 14:31:59
BGT,$307.52,2022-03-03,sell,4344,808222732-X,2022-04-07 14:17:03
SEM,$711.91,2017-04-04,sell,2518,543259995-3,2016-10-10 06:43:44
MPLX,$2242.20,2015-10-13,sell,2262,075974415-7,2015-12-29 02:53:00
BQH,$2403.41,2018-07-07,buy,379,928775250-8,2020-02-10 23:48:44
AA,$817.13,2015-03-12,sell,4569,060317902-9,2022-04-01 23:08:35
CMS^B,$1535.54,2021-12-27,sell,3265,117317043-X,2022-02-14 01:04:41
ALL^C,$350.44,2021-04-13,sell,4078,942880894-6,2018-01-12 14:32:58
WOR,$2079.80,2016-05-03,sell,1588,551694811-8,2019-11-18 18:37:16
ODC,$1718.37,2015-01-11,sell,3376,284463410-9,2019-07-13 01:13:02
LVNTA,$853.82,2018-08-03,sell,1465,053026141-3,2016-09-07 13:44:12
NBD,$2385.89,2015-08-29,buy,2391,433610786-6,2015-03-24 23:50:53
PSA^F,$2449.86,2016-03-14,sell,116,698313279-3,2017-03-04 16:31:39
GTN,$1988.69,2019-03-08,buy,1658,482575229-2,2021-02-14 12:06:05
HIVE,$1076.38,2016-07-08,sell,3294,360186563-7,2016-07-24 22:07:40
SZC,$1108.24,2019-08-01,sell,3579,248186149-3,2021-04-19 08:15:23
VEACU,$392.67,2021-01-25,sell,1901,661990026-7,2018-08-28 09:43:01
BUFF,$1604.03,2021-08-12,buy,1831,164038888-5,2022-05-07 09:47:01
EHIC,$29.59,2022-07-28,sell,4505,313115276-1,2019-08-18 18:22:16
RETA,$780.50,2016-10-11,buy,642,234288459-1,2016-04-06 17:35:14
GRAM,$1026.29,2017-12-01,sell,1970,918499617-X,2018-06-26 15:15:52
SYK,$1133.21,2021-01-04,sell,86,852581547-0,2015-06-28 06:49:25
PFSI,$1517.42,2020-08-20,sell,4352,386650282-6,2015-04-30 03:03:07
SHI,$171.90,2017-11-04,sell,4963,505360823-7,2020-05-22 14:31:11
UNVR,$1425.95,2021-10-20,sell,1318,701860205-X,2016-01-26 06:34:37
MGF,$128.95,2021-12-23,sell,2290,080286740-5,2020-03-18 10:53:31
COF,$1773.28,2015-04-17,sell,3812,556210673-6,2019-09-28 13:28:51
GCVRZ,$2498.03,2016-12-16,sell,3507,695868555-5,2021-03-02 04:41:44
TAPR,$738.45,2018-01-19,sell,3012,262754986-3,2018-04-13 09:03:57
GUT,$880.13,2017-01-10,sell,2441,817548864-6,2021-05-30 00:56:20
STT^E,$2388.88,2016-09-13,buy,1212,373127025-0,2018-08-03 00:24:02
XL,$1013.77,2021-01-21,buy,2648,876470424-6,2016-01-14 03:51:14
GS^N,$297.92,2021-07-23,sell,2454,850443566-0,2017-01-09 06:22:32
HGV,$51.89,2017-12-13,buy,2614,044500582-3,2022-03-12 17:17:15
FLY,$300.70,2022-02-28,buy,4781,027361316-2,2020-03-03 20:27:31
BML^I,$1877.27,2018-12-09,buy,4301,171802884-9,2016-03-12 22:07:24
MTT,$733.45,2020-03-04,buy,496,460368919-5,2018-08-26 09:13:39
NOK,$2091.43,2017-02-08,sell,4548,891276148-X,2019-04-30 08:02:09
BHLB,$1745.29,2015-01-21,buy,4630,755054543-X,2019-09-12 02:04:27
WLK,$571.73,2019-02-03,sell,1299,246642485-1,2020-03-02 10:03:02
ECHO,$1160.39,2019-11-03,buy,4738,753267544-0,2018-02-23 09:28:53
RAI,$1062.77,2019-01-27,sell,229,965209629-6,2020-06-30 09:15:15
DTUL,$818.52,2017-09-27,buy,1695,212847554-6,2019-11-28 06:08:44
OPGNW,$575.19,2021-05-24,sell,3729,939865712-0,2016-04-09 00:04:01
BL,$1773.05,2017-09-07,buy,4423,074329485-8,2020-08-27 09:20:52
CIT,$452.89,2017-12-01,buy,3449,721005537-1,2020-10-24 11:30:27
MORN,$1597.50,2017-03-23,buy,644,192464980-2,2015-12-25 17:46:54
UNVR,$1726.73,2020-12-02,buy,3857,425363168-1,2020-03-07 07:34:03
INNL,$1678.61,2015-12-12,buy,2802,614154512-2,2021-09-13 11:55:18
PMPT,$1502.70,2015-04-12,buy,2057,818026970-1,2017-06-23 02:37:40
PFPT,$1284.20,2019-04-11,buy,270,830715246-1,2019-12-16 07:40:55
